Name,Address,Issue Type,Complaint Text
Tracie Ruiz,"0172 Zoe Turnpike Suite 280, Richardport, CO 43465",Inaccessible housing,"Dear Council,

I am writing to complain about the following issue: I am a wheelchair user placed in temporary accommodation without proper access. It has been eight months.

I reported this issue on 2025-05-28 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Tracie Ruiz
0172 Zoe Turnpike Suite 280, Richardport, CO 43465"
Benjamin Clark,"2265 Reyes Fort, Alexanderside, TN 84099",High hedges blocking light,"Dear Council,

I am writing to complain about the following issue: My neighbour’s hedge is over 4 metres tall and blocking all sunlight into my garden.

I reported this issue on 2025-04-20 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Benjamin Clark
2265 Reyes Fort, Alexanderside, TN 84099"
Carla Clark,"PSC 6953, Box 2442, APO AP 15855",Overgrown trees,"Dear Council,

I am writing to complain about the following issue: The trees outside my home are overgrown and blocking sunlight into my living room. They've not been trimmed in years.

I reported this issue on 2025-06-21 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Carla Clark
PSC 6953, Box 2442, APO AP 15855"
Robert Colon,"USNV Smith, FPO AE 64408",Unsafe pavement,"Dear Council,

I am writing to complain about the following issue: The pavement on our road is cracked and hazardous. My elderly mother tripped and injured herself last week.

I reported this issue on 2025-06-11 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Robert Colon
USNV Smith, FPO AE 64408"
Lindsay Hunter,"85911 Carla Meadow Apt. 620, Port Daniel, MN 11093",Noise nuisance,"Dear Council,

I am writing to complain about the following issue: A nearby construction site operates outside of permitted hours, causing loud noise early in the morning and late at night.

I reported this issue on 2025-03-20 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Lindsay Hunter
85911 Carla Meadow Apt. 620, Port Daniel, MN 11093"
Peter Snyder,"PSC 4284, Box 0676, APO AA 97548",Missed bin collection,"Dear Council,

I am writing to complain about the following issue: Our rubbish bins have not been collected for three consecutive weeks. The street is now unhygienic and smells awful.

I reported this issue on 2025-06-08 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Peter Snyder
PSC 4284, Box 0676, APO AA 97548"
Jasmine Smith,"49041 Brown Islands, Armstrongtown, RI 91568",High hedges blocking light,"Dear Council,

I am writing to complain about the following issue: My neighbour’s hedge is over 4 metres tall and blocking all sunlight into my garden.

I reported this issue on 2025-04-30 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Jasmine Smith
49041 Brown Islands, Armstrongtown, RI 91568"
Brenda Williams,"USNS Ashley, FPO AA 52571",Inaccessible housing,"Dear Council,

I am writing to complain about the following issue: I am a wheelchair user placed in temporary accommodation without proper access. It has been eight months.

I reported this issue on 2025-02-01 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Brenda Williams
USNS Ashley, FPO AA 52571"
Jesus Ramirez,"9868 Randolph Flats, West Michaelberg, MN 89478",High hedges blocking light,"Dear Council,

I am writing to complain about the following issue: My neighbour’s hedge is over 4 metres tall and blocking all sunlight into my garden.

I reported this issue on 2025-04-08 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Jesus Ramirez
9868 Randolph Flats, West Michaelberg, MN 89478"
Katelyn Gonzalez,"02625 Jill Prairie Apt. 434, New Mauricemouth, MO 31962",Incorrect care home charges,"Dear Council,

I am writing to complain about the following issue: We were overcharged for my father’s care home fees despite him being eligible for council funding.

I reported this issue on 2025-05-25 and no effective action has been taken. I request an urgent resolution and confirmation of the steps you will take to address it.

Sincerely,
Katelyn Gonzalez
02625 Jill Prairie Apt. 434, New Mauricemouth, MO 31962"
